geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05165	Human papillomavirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05165+1147+122011+1288+1499+1741+2033+2308+26508+2778+29110+3107+324+3280+355+3845+3914+3915+472+4893+5290+5519+5520+5590+5700+6009+6198+6696+6773+6934+7157+7297+8322	302	32	15.59342841668171	2.052146528967721	6.571479037797978e-5	0.001665430823445894	1147;122011;1288;1499;1741;2033;2308;26508;2778;29110;3107;324;3280;355;3845;3914;3915;472;4893;5290;5519;5520;5590;5700;6009;6198;6696;6773;6934;7157;7297;8322	APC;ATM;CHUK;COL4A6;CSNK1A1L;CTNNB1;DLG3;EP300;FAS;FOXO1;FZD4;GNAS;HES1;HEYL;HLA-C;KRAS;LAMB3;LAMC1;NRAS;PIK3CA;PPP2R1B;PPP2R2A;PRKCZ;PSMC1;RHEB;RPS6KB1;SPP1;STAT2;TBK1;TCF7L2;TP53;TYK2
hsa04926	Relaxin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04926+114+1281+1288+1386+1388+2778+3845+4087+4313+4322+4846+4893+5290+5590+5601+5609+6416+7048	126	18	6.505867485105615	2.766733266733267	6.998718723993935e-5	0.001665430823445894	114;1281;1288;1386;1388;2778;3845;4087;4313;4322;4846;4893;5290;5590;5601;5609;6416;7048	ADCY8;ATF2;ATF6B;COL3A1;COL4A6;GNAS;KRAS;MAP2K4;MAP2K7;MAPK9;MMP13;MMP2;NOS3;NRAS;PIK3CA;PRKCZ;SMAD2;TGFBR2
hsa05226	Gastric cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05226+1015+122011+1499+324+369+3845+4087+4292+4893+51176+5290+5915+6198+673+6934+7048+7157+8322+999	138	19	7.12547391225853	2.666489307793656	7.374496928513885e-5	0.001665430823445894	1015;122011;1499;324;369;3845;4087;4292;4893;51176;5290;5915;6198;673;6934;7048;7157;8322;999	APC;ARAF;BRAF;CDH1;CDH17;CSNK1A1L;CTNNB1;FZD4;KRAS;LEF1;MLH1;NRAS;PIK3CA;RARB;RPS6KB1;SMAD2;TCF7L2;TGFBR2;TP53
hsa04720	Long-term potentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04720+114+2033+2911+369+3845+4893+5579+6196+673+801+816+818	64	12	3.304567611482217	3.6313374125874125	8.348714841566185e-5	0.001665430823445894	114;2033;2911;369;3845;4893;5579;6196;673;801;816;818	ADCY8;ARAF;BRAF;CALM1;CAMK2B;CAMK2G;EP300;GRM1;KRAS;NRAS;PRKCB;RPS6KA2
hsa04211	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04211+10645+114+1386+1388+2308+3845+4893+5290+5468+6009+6198+7157+8471+9474	84	14	4.33724499007041	3.2278554778554778	8.38304105761356e-5	0.001665430823445894	10645;114;1386;1388;2308;3845;4893;5290;5468;6009;6198;7157;8471;9474	ADCY8;ATF2;ATF6B;ATG5;CAMKK2;FOXO1;IRS4;KRAS;NRAS;PIK3CA;PPARG;RHEB;RPS6KB1;TP53
hsa05219	Bladder cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05219+1613+2261+369+3845+4313+4893+673+7157+999	38	9	1.9620870193175663	4.586952521163047	9.957829042517297e-5	0.0018546456591688465	1613;2261;369;3845;4313;4893;673;7157;999	ARAF;BRAF;CDH1;DAPK3;FGFR3;KRAS;MMP2;NRAS;TP53
hsa04912	GnRH signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04912+114+1958+2778+3845+4313+4893+5579+5601+5606+5609+6416+801+816+818	86	14	4.440512727929229	3.1527890713937228	1.0918545990312722e-4	0.0018881895188083513	114;1958;2778;3845;4313;4893;5579;5601;5606;5609;6416;801;816;818	ADCY8;CALM1;CAMK2B;CAMK2G;EGR1;GNAS;KRAS;MAP2K3;MAP2K4;MAP2K7;MAPK9;MMP2;NRAS;PRKCB
hsa05221	Acute myeloid leukemia	http://www.kegg.jp/kegg-bin/show_pathway?hsa05221+1147+369+3815+3845+4893+51176+5290+5292+6198+673+6934+862	66	12	3.407835349341036	3.521296884933249	1.1405171590117558e-4	0.0018881895188083513	1147;369;3815;3845;4893;51176;5290;5292;6198;673;6934;862	ARAF;BRAF;CHUK;KIT;KRAS;LEF1;NRAS;PIK3CA;PIM1;RPS6KB1;RUNX1T1;TCF7L2
hsa04015	Rap1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04015+114+1499+2261+27040+2778+3791+3815+3845+4254+4893+5290+5579+5587+5590+5606+5900+60+64411+673+7074+801+80310+999	196	23	10.12023831016429	2.272673754816612	1.6382340854159683e-4	0.00251307187818024	114;1499;2261;27040;2778;3791;3815;3845;4254;4893;5290;5579;5587;5590;5606;5900;60;64411;673;7074;801;80310;999	ACTB;ADCY8;ARAP3;BRAF;CALM1;CDH1;CTNNB1;FGFR3;GNAS;KDR;KIT;KITLG;KRAS;LAT;MAP2K3;NRAS;PDGFD;PIK3CA;PRKCB;PRKCZ;PRKD1;RALGDS;TIAM1
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+1147+1499+1728+3791+4313+4846+5290+5590+5601+5609+60+6416+657+6613+7157+7295+801	123	17	6.3509658783173855	2.676758201148445	1.6866254215974763e-4	0.00251307187818024	1147;1499;1728;3791;4313;4846;5290;5590;5601;5609;60;6416;657;6613;7157;7295;801	ACTB;BMPR1A;CALM1;CHUK;CTNNB1;KDR;MAP2K4;MAP2K7;MAPK9;MMP2;NOS3;NQO1;PIK3CA;PRKCZ;SUMO2;TP53;TXN
hsa04914	Progesterone-mediated oocyte maturation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04914+114+245711+29945+369+3845+4085+5290+5601+6196+673+6790+699+891	82	13	4.233977252211591	3.07039911308204	2.5238736079802315e-4	0.0035814968341814713	114;245711;29945;369;3845;4085;5290;5601;6196;673;6790;699;891	ADCY8;ANAPC4;ARAF;AURKA;BRAF;BUB1;CCNB1;KRAS;MAD2L1;MAPK9;PIK3CA;RPS6KA2;SPDYA
hsa04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04010+1147+1386+1649+2005+2066+2261+355+369+3791+3815+3845+4254+4763+4772+4893+5579+5601+5606+5609+5924+6196+6416+673+7048+7157+782+783+80310	277	28	14.30258169344647	1.9576885208654162	4.230648761871514e-4	0.005418660069461881	1147;1386;1649;2005;2066;2261;355;369;3791;3815;3845;4254;4763;4772;4893;5579;5601;5606;5609;5924;6196;6416;673;7048;7157;782;783;80310	ARAF;ATF2;BRAF;CACNB1;CACNB2;CHUK;DDIT3;ELK4;ERBB4;FAS;FGFR3;KDR;KIT;KITLG;KRAS;MAP2K3;MAP2K4;MAP2K7;MAPK9;NF1;NFATC1;NRAS;PDGFD;PRKCB;RASGRF2;RPS6KA2;TGFBR2;TP53
hsa05205	Proteoglycans in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05205+1499+2066+287+355+369+3791+3845+4087+4313+4893+5290+5579+60+6198+673+7074+7157+816+818+8322+9138	183	21	9.448998014081964	2.2224578699988538	4.2953912370369274e-4	0.005418660069461881	1499;2066;287;355;369;3791;3845;4087;4313;4893;5290;5579;60;6198;673;7074;7157;816;818;8322;9138	ACTB;ANK2;ARAF;ARHGEF1;BRAF;CAMK2B;CAMK2G;CTNNB1;ERBB4;FAS;FZD4;KDR;KRAS;MMP2;NRAS;PIK3CA;PRKCB;RPS6KB1;SMAD2;TIAM1;TP53
hsa04921	Oxytocin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04921+10645+114+2778+2977+29904+3845+4772+4846+4893+5579+60+782+783+801+816+818+91807	133	17	6.867304567611482	2.475498186024502	4.364021532452522e-4	0.005418660069461881	10645;114;2778;2977;29904;3845;4772;4846;4893;5579;60;782;783;801;816;818;91807	ACTB;ADCY8;CACNB1;CACNB2;CALM1;CAMK2B;CAMK2G;CAMKK2;EEF2K;GNAS;GUCY1A2;KRAS;MYLK3;NFATC1;NOS3;NRAS;PRKCB
hsa05225	Hepatocellular carcinoma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05225+122011+1499+1728+324+369+3845+4087+4893+51176+5290+5579+60+6198+673+6934+7048+7157+8322	146	18	7.538544863693807	2.387728709646518	4.6515626342058525e-4	0.005544662659973376	122011;1499;1728;324;369;3845;4087;4893;51176;5290;5579;60;6198;673;6934;7048;7157;8322	ACTB;APC;ARAF;BRAF;CSNK1A1L;CTNNB1;FZD4;KRAS;LEF1;NQO1;NRAS;PIK3CA;PRKCB;RPS6KB1;SMAD2;TCF7L2;TGFBR2;TP53
hsa01521	EGFR tyrosine kinase inhibitor resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01521+2261+369+3791+3845+4763+4893+5290+5579+6198+673+80310+9542	78	12	4.027441776493951	2.979558902635826	5.771524747553158e-4	0.006615055287580158	2261;369;3791;3845;4763;4893;5290;5579;6198;673;80310;9542	ARAF;BRAF;FGFR3;KDR;KRAS;NF1;NRAS;NRG2;PDGFD;PIK3CA;PRKCB;RPS6KB1
hsa05224	Breast cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05224+122011+1499+26508+324+3280+369+3815+3845+4893+51176+5290+6198+6667+673+6934+7157+8322	137	17	7.07384004332912	2.4032208667245163	6.185091376458285e-4	0.006826508259942847	122011;1499;26508;324;3280;369;3815;3845;4893;51176;5290;6198;6667;673;6934;7157;8322	APC;ARAF;BRAF;CSNK1A1L;CTNNB1;FZD4;HES1;HEYL;KIT;KRAS;LEF1;NRAS;PIK3CA;RPS6KB1;SP1;TCF7L2;TP53
hsa04750	Inflammatory mediator regulation of TRP channels	http://www.kegg.jp/kegg-bin/show_pathway?hsa04750+114+2778+5290+5579+5581+5583+5588+5601+5606+801+816+818	80	12	4.1307095143527714	2.90506993006993	7.299115630919895e-4	0.007768344492907602	114;2778;5290;5579;5581;5583;5588;5601;5606;801;816;818	ADCY8;CALM1;CAMK2B;CAMK2G;GNAS;MAP2K3;MAPK9;PIK3CA;PRKCB;PRKCE;PRKCH;PRKCQ
hsa03430	Mismatch repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03430+10714+27030+2956+3978+4292+4436	23	6	1.1875789853764216	5.052295530556401	8.605608545205756e-4	0.008843004643004537	10714;27030;2956;3978;4292;4436	LIG1;MLH1;MLH3;MSH2;MSH6;POLD3
hsa05163	Human cytomegalovirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05163+114+1147+1386+1388+1499+2778+29110+3107+355+3845+4772+4893+5290+5579+6009+6198+6667+7157+801+811+8737+9138	208	22	10.739844737317204	2.0484467455621305	9.694217498046331e-4	0.009324989304022438	114;1147;1386;1388;1499;2778;29110;3107;355;3845;4772;4893;5290;5579;6009;6198;6667;7157;801;811;8737;9138	ADCY8;ARHGEF1;ATF2;ATF6B;CALM1;CALR;CHUK;CTNNB1;FAS;GNAS;HLA-C;KRAS;NFATC1;NRAS;PIK3CA;PRKCB;RHEB;RIPK1;RPS6KB1;SP1;TBK1;TP53
hsa05215	Prostate cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05215+1147+1499+2033+2308+369+3845+4893+51176+5290+673+6934+7157+80310	94	13	4.853583679364506	2.6784332688588006	9.762053784254654e-4	0.009324989304022438	1147;1499;2033;2308;369;3845;4893;51176;5290;673;6934;7157;80310	ARAF;BRAF;CHUK;CTNNB1;EP300;FOXO1;KRAS;LEF1;NRAS;PDGFD;PIK3CA;TCF7L2;TP53
hsa05160	Hepatitis C	http://www.kegg.jp/kegg-bin/show_pathway?hsa05160+1147+29110+369+3845+4893+5290+5519+5520+5601+673+6773+7157+7297+8737	106	14	5.473190106517421	2.5579232088666055	0.0010013411333178457	0.009324989304022438	1147;29110;369;3845;4893;5290;5519;5520;5601;673;6773;7157;7297;8737	ARAF;BRAF;CHUK;KRAS;MAPK9;NRAS;PIK3CA;PPP2R1B;PPP2R2A;RIPK1;STAT2;TBK1;TP53;TYK2
hsa04014	Ras signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04014+1147+2114+2261+27040+29110+3791+3815+3845+4254+4763+4893+5063+5290+5579+5601+5878+5900+5924+7074+801+80310+9462	209	22	10.791478606246615	2.0386455649613544	0.0010336068663124864	0.009333783217003667	1147;2114;2261;27040;29110;3791;3815;3845;4254;4763;4893;5063;5290;5579;5601;5878;5900;5924;7074;801;80310;9462	CALM1;CHUK;ETS2;FGFR3;KDR;KIT;KITLG;KRAS;LAT;MAPK9;NF1;NRAS;PAK3;PDGFD;PIK3CA;PRKCB;RAB5C;RALGDS;RASAL2;RASGRF2;TBK1;TIAM1
hsa04620	Toll-like receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04620+1147+29110+3627+4283+5290+54106+5601+5606+5609+6373+6416+6696+8737	95	13	4.9052175482939155	2.650239234449761	0.0010797403370328418	0.009463606483405497	1147;29110;3627;4283;5290;54106;5601;5606;5609;6373;6416;6696;8737	CHUK;CXCL10;CXCL11;CXCL9;MAP2K3;MAP2K4;MAP2K7;MAPK9;PIK3CA;RIPK1;SPP1;TBK1;TLR9
hsa04922	Glucagon signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04922+1386+2033+2308+2778+31+5162+5211+5257+5260+801+816+818	86	12	4.440512727929229	2.702390632623191	0.0014042192532881526	0.01195592392799627	1386;2033;2308;2778;31;5162;5211;5257;5260;801;816;818	ACACA;ATF2;CALM1;CAMK2B;CAMK2G;EP300;FOXO1;GNAS;PDHB;PFKL;PHKB;PHKG1
hsa05212	Pancreatic cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05212+1147+369+3845+4087+5290+5601+5900+6198+673+7048+7157	75	11	3.872540169705723	2.8405128205128203	0.001459167275086548	0.012078662443771983	1147;369;3845;4087;5290;5601;5900;6198;673;7048;7157	ARAF;BRAF;CHUK;KRAS;MAPK9;PIK3CA;RALGDS;RPS6KB1;SMAD2;TGFBR2;TP53
hsa04520	Adherens junction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04520+1499+2033+4008+4087+51176+5795+60+6934+7048+999	65	10	3.3562014804116265	2.979558902635826	0.0016450498637162747	0.013249320523985132	1499;2033;4008;4087;51176;5795;60;6934;7048;999	ACTB;CDH1;CTNNB1;EP300;LEF1;LMO7;PTPRJ;SMAD2;TCF7L2;TGFBR2
hsa04068	FoxO signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04068+1147+2033+2308+2911+369+3845+4087+472+4893+5290+5601+673+7048+8471+891	125	15	6.454233616176205	2.324055944055944	0.001805177150477233	0.01415638923268988	1147;2033;2308;2911;369;3845;4087;472;4893;5290;5601;673;7048;8471;891	ARAF;ATM;BRAF;CCNB1;CHUK;EP300;FOXO1;GRM1;IRS4;KRAS;MAPK9;NRAS;PIK3CA;SMAD2;TGFBR2
hsa04114	Oocyte meiosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04114+114+245711+29945+4085+5519+6196+6790+699+7533+801+816+818+891	101	13	5.215020761870374	2.4927992799279926	0.0019124566364325801	0.014613130196330997	114;245711;29945;4085;5519;6196;6790;699;7533;801;816;818;891	ADCY8;ANAPC4;AURKA;BUB1;CALM1;CAMK2B;CAMK2G;CCNB1;MAD2L1;PPP2R1B;RPS6KA2;SPDYA;YWHAH
hsa04910	Insulin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04910+2308+31+369+3845+4893+5257+5260+5290+5590+5601+6009+6198+673+801+8471	127	15	6.557501354035024	2.287456637850339	0.002116943579863473	0.015771229669982872	2308;31;369;3845;4893;5257;5260;5290;5590;5601;6009;6198;673;801;8471	ACACA;ARAF;BRAF;CALM1;FOXO1;IRS4;KRAS;MAPK9;NRAS;PHKB;PHKG1;PIK3CA;PRKCZ;RHEB;RPS6KB1
hsa04071	Sphingolipid signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04071+134+140+3845+4846+4893+5290+5519+5520+5579+5581+5590+5601+7157	103	13	5.318288499729193	2.444395410414828	0.0022867331993347007	0.016620646180530264	134;140;3845;4846;4893;5290;5519;5520;5579;5581;5590;5601;7157	ADORA1;ADORA3;KRAS;MAPK9;NOS3;NRAS;PIK3CA;PPP2R1B;PPP2R2A;PRKCB;PRKCE;PRKCZ;TP53
hsa01522	Endocrine resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01522+114+2778+369+3845+4313+4893+5290+5601+6198+6667+673+7157	92	12	4.750315941505686	2.5261477652782003	0.002527164620826916	0.01793083469062907	114;2778;369;3845;4313;4893;5290;5601;6198;6667;673;7157	ADCY8;ARAF;BRAF;GNAS;KRAS;MAPK9;MMP2;NRAS;PIK3CA;RPS6KB1;SP1;TP53
hsa05214	Glioma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05214+369+3845+4893+5290+5579+673+7157+801+816+818	69	10	3.562736956129265	2.8068308503091113	0.002604082896135229	0.01804690007089066	369;3845;4893;5290;5579;673;7157;801;816;818	ARAF;BRAF;CALM1;CAMK2B;CAMK2G;KRAS;NRAS;PIK3CA;PRKCB;TP53
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+1147+1499+2033+29110+3107+355+3572+3845+4772+4893+5290+5601+5609+6416+6773+7157+7297+801	170	18	8.777757717999638	2.0506375976964213	0.0027415147934083395	0.018567532009901935	1147;1499;2033;29110;3107;355;3572;3845;4772;4893;5290;5601;5609;6416;6773;7157;7297;801	CALM1;CHUK;CTNNB1;EP300;FAS;HLA-C;IL6ST;KRAS;MAP2K4;MAP2K7;MAPK9;NFATC1;NRAS;PIK3CA;STAT2;TBK1;TP53;TYK2
hsa05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+1147+29110+3107+3280+355+3627+5290+5601+5606+5609+5700+5701+5705+6416+6773+7157+7297+811+8737	184	19	9.500631883011373	1.999866980845242	0.0028097654194552124	0.01860689099994785	1147;29110;3107;3280;355;3627;5290;5601;5606;5609;5700;5701;5705;6416;6773;7157;7297;811;8737	CALR;CHUK;CXCL10;FAS;HES1;HLA-C;MAP2K3;MAP2K4;MAP2K7;MAPK9;PIK3CA;PSMC1;PSMC2;PSMC5;RIPK1;STAT2;TBK1;TP53;TYK2
hsa05161	Hepatitis B	http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+1147+1386+1388+2033+29110+355+3845+4772+4893+5290+5579+5601+6416+6773+7157	132	15	6.815670698682072	2.2008105530832807	0.003096983828065225	0.02006306914703124	1147;1386;1388;2033;29110;355;3845;4772;4893;5290;5579;5601;6416;6773;7157	ATF2;ATF6B;CHUK;EP300;FAS;KRAS;MAP2K4;MAPK9;NFATC1;NRAS;PIK3CA;PRKCB;STAT2;TBK1;TP53
hsa05170	Human immunodeficiency virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05170+1147+29110+3107+355+3845+472+4772+4893+5063+5290+5579+5601+5606+5609+6198+801+811+8737+891	187	19	9.655533489799602	1.967783553345051	0.003372668267279444	0.02138415199253775	1147;29110;3107;355;3845;472;4772;4893;5063;5290;5579;5601;5606;5609;6198;801;811;8737;891	ATM;CALM1;CALR;CCNB1;CHUK;FAS;HLA-C;KRAS;MAP2K3;MAP2K7;MAPK9;NFATC1;NRAS;PAK3;PIK3CA;PRKCB;RIPK1;RPS6KB1;TBK1
hsa05230	Central carbon metabolism in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05230+2261+3815+3845+4893+5162+5211+5290+5979+7157	61	9	3.149666004693988	2.8574458328556687	0.0037303690198984274	0.023159374331869403	2261;3815;3845;4893;5162;5211;5290;5979;7157	FGFR3;KIT;KRAS;NRAS;PDHB;PFKL;PIK3CA;RET;TP53
hsa04925	Aldosterone synthesis and secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04925+114+1386+1388+2778+493+5579+5581+5587+801+816+818	85	11	4.388878858999819	2.5063348416289597	0.0040197919982052355	0.02444689827479919	114;1386;1388;2778;493;5579;5581;5587;801;816;818	ADCY8;ATF2;ATF6B;ATP2B4;CALM1;CAMK2B;CAMK2G;GNAS;PRKCB;PRKCE;PRKD1
hsa04270	Vascular smooth muscle contraction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04270+114+2778+2977+369+5579+5581+5583+5588+673+801+9138+91807	98	12	5.060119155082145	2.3714856571999428	0.004293581443029493	0.025589745400455777	114;2778;2977;369;5579;5581;5583;5588;673;801;9138;91807	ADCY8;ARAF;ARHGEF1;BRAF;CALM1;GNAS;GUCY1A2;MYLK3;PRKCB;PRKCE;PRKCH;PRKCQ
hsa04928	Parathyroid hormone synthesis, secretion and action	http://www.kegg.jp/kegg-bin/show_pathway?hsa04928+114+1386+1388+1958+2778+369+4322+5579+6667+673+7421+9138	99	12	5.111753024011554	2.3475312566221658	0.004666449520138949	0.027266705039243267	114;1386;1388;1958;2778;369;4322;5579;6667;673;7421;9138	ADCY8;ARAF;ARHGEF1;ATF2;ATF6B;BRAF;EGR1;GNAS;MMP13;PRKCB;SP1;VDR
